Date	School	Day	Schedule	Testing	Events
09/13	True	A	Homeroom	None	Start of MP1
09/14	True	B	Homeroom	None	None
09/15	True	A	Homeroom	None	None
09/16	False	None	None	None	Yom Kippur
09/17	True	B	Homeroom	None	None
09/18	False	None	None	None	None
09/19	False	None	None	None	None
09/20	True	A	Regular	Science	None
09/21	True	B1	Regular	Science	None
09/22	True	A1	Regular	World Languages, English Language Arts, Health	None
09/23	True	B2	Regular	Mathematics, Music, Art	None
09/24	True	A2	Regular	Computer Science, Social Studies, Technology	None
09/25	False	None	None	None	None
09/26	False	None	None	None	None
09/27	True	B	Regular	Science	None
09/28	True	A1	Regular	Science	None
09/29	True	B1	Regular	World Languages, English Language Arts, Health	None
09/30	True	A2	Regular	Mathematics, Music, Art	None
10/01	True	B2	Regular	Computer Science, Social Studies, Technology	None
10/02	False	None	None	None	None
10/03	False	None	None	None	None
10/04	True	A	Regular	Science	None
10/05	True	B1	Regular	Science	None
10/06	True	A1	Conference	World Languages, English Language Arts, Health	Faculty Meeting
10/07	True	B2	Regular	Mathematics, Music, Art	None
10/08	True	A2	Regular	Computer Science, Social Studies, Technology	None
10/09	False	None	None	None	None
10/10	False	None	None	None	None
10/11	False	None	None	None	Indigenous Peoples' Day
10/12	True	B	Regular	Science	None
10/13	True	A	PSAT	None	PSAT Administration
10/14	True	B2	Regular	Mathematics, Music, Art	None
10/15	True	A2	Regular	World Languages, English Language Arts, Health	None
10/16	False	None	None	None	None
10/17	False	None	None	None	None
10/18	True	B	Regular	Science	None
10/19	True	A1	Regular	Science	None
10/20	True	B1	Conference	World Languages, English Language Arts, Health	Faculty Meeting, End of MP1
10/21	True	A2	Regular	Mathematics, Music, Art	Start of MP2
10/22	True	B2	Regular	Computer Science, Social Studies, Technology	None
10/23	False	None	None	None	None
10/24	False	None	None	None	None
10/25	True	A	Regular	Science	None
10/26	True	B1	Regular	Science	None
10/27	True	A1	Regular	World Languages, English Language Arts, Health	Grades due 8am
10/28	True	B2	Regular	Mathematics, Music, Art	None
10/29	True	A2	Regular	Computer Science, Social Studies, Technology	None
10/30	False	None	None	None	None
10/31	False	None	None	None	None
11/01	True	B1	Regular	Science	Report Card Distribution
11/02	False	None	None	None	Election Day, Professional Development
11/03	True	A1	Conference	World Languages, English Language Arts, Health	Faculty Meeting
11/04	True	B2	Regular	Mathematics, Music, Art	None
11/05	True	A2	Regular	Computer Science, Social Studies, Technology	None
11/06	False	None	None	None	None
11/07	False	None	None	None	None
11/08	True	B1	Regular	Science	None
11/09	True	A1	Regular	World Languages, English Language Arts, Health	None
11/10	True	B2	Regular	Mathematics, Music, Art	None
11/11	False	None	None	None	Veterans Day
11/12	True	A2	Regular	Computer Science, Social Studies, Technology	None
11/13	False	None	None	None	None
11/14	False	None	None	None	None
11/15	True	B	Regular	None	Parent Teacher Conferences (evening)
11/16	True	A1	PTC	Science	Parent Teacher Conferences (daytime)
11/17	True	B1	Conference	World Languages, English Language Arts, Health	Faculty Meeting
11/18	True	A2	Regular	Mathematics, Music, Art	None
11/19	True	B2	Regular	Computer Science, Social Studies, Technology	None
11/20	False	None	None	None	None
11/21	False	None	None	None	None
11/22	True	A	Regular	Science	None
11/23	True	B1	Regular	Mathematics, Music, Art, Technology	None
11/24	True	A1	Regular	World Languages, English Language Arts, Computer Science, Social Studies, Health	None
11/25	False	None	None	None	Thanksgiving Day
11/26	False	None	None	None	Thanksgiving Day
11/27	False	None	None	None	None
11/28	False	None	None	None	None
11/29	True	B	Regular	None	None
11/30	True	A1	Regular	Science	None
