Day,Cycle,Period,Testing,Event
2021-01-31,,,,Fall Grades Due
2021-02-01,,,,Staff Professional Development Day
2021-02-02,A1,1-5,No,
2021-02-03,A1,6-10,No,Report Cards
2021-02-04,B1,1-5,No,
2021-02-05,B1,6-10,No,
2021-02-06,,,,
2021-02-07,,,,
2021-02-08,A2,1-5,Math,
2021-02-09,A2,6-10,Math,
2021-02-10,B2,1-5,"CS, SS",
2021-02-11,B2,6-10,"CS, SS",
2021-02-12,,,,Lunar New Year
2021-02-13,,,,
2021-02-14,,,,
2021-02-15,,,,Midwinter Recess
2021-02-16,,,,Midwinter Recess
2021-02-17,,,,Midwinter Recess
2021-02-18,,,,Midwinter Recess
2021-02-19,,,,Midwinter Recess
2021-02-20,,,,
2021-02-21,,,,
2021-02-22,A1,1-5,No,
2021-02-23,A1,6-10,Science,
2021-02-24,B1,1-5,"WL, Science",Department
2021-02-25,B1,6-10,"WL, ELA",
2021-02-26,A2,1-5,Math,
2021-02-27,,,,
2021-02-28,,,,
2021-03-01,A2,6-10,Math,
2021-03-02,B2,1-5,"CS, SS",
2021-03-03,B2,6-10,"CS, SS",Faculty
2021-03-04,A1,1-5,Science,
2021-03-05,A1,6-10,Science,
2021-03-06,,,,
2021-03-07,,,,
2021-03-08,B1,1-5,"WL, ELA",
2021-03-09,B1,6-10,"WL, ELA",
2021-03-10,A2,1-5,Math,
2021-03-11,A2,6-10,Math,
2021-03-12,B2,1-5,"CS, SS",
2021-03-13,,,,
2021-03-14,,,,Day Light Savings
2021-03-15,B2,6-10,"CS, SS",End of MP1
2021-03-16,A1,1-5,Science,
2021-03-17,A1,6-10,Science,Department
2021-03-18,B1,1-5,"WL, ELA",
2021-03-19,B1,6-10,"WL, ELA",
2021-03-20,,,,
2021-03-21,,,,
2021-03-22,A2,1-5,Math,Grades Due
2021-03-23,A2,6-10,Math,Stars 8 am
2021-03-24,B2,1-5,"CS, SS",Report Cards
2021-03-25,B2,6-10,"CS, SS",PT Conference
2021-03-26,B,1-10,No,PT Conference
2021-03-27,,,,
2021-03-28,,,,
2021-03-29,,,,Spring Recess
2021-03-30,,,,Spring Recess
2021-03-31,,,,Spring Recess
2021-04-01,,,,Spring Recess
2021-04-02,,,,Spring Recess
2021-04-03,,,,
2021-04-04,,,,
2021-04-05,A1,1-5,No,
2021-04-06,A1,6-10,Science,
2021-04-07,B1,1-5,"WL, Science",Faculty
2021-04-08,B1,6-10,"WL, ELA",
2021-04-09,A2,1-5,Math,
2021-04-10,,,,
2021-04-11,,,,
2021-04-12,A2,6-10,Math,
2021-04-13,B2,1-5,"CS, SS",
2021-04-14,B2,6-10,"CS, SS",
2021-04-15,A1,1-5,Science,
2021-04-16,A1,6-10,Science,
2021-04-17,,,,
2021-04-18,,,,
2021-04-19,B1,1-5,"WL, ELA",
2021-04-20,B1,6-10,"WL, ELA",
2021-04-21,A2,1-5,Math,Department
2021-04-22,A2,6-10,Math,
2021-04-23,B2,1-5,"CS, SS",
2021-04-24,,,,
2021-04-25,,,,
2021-04-26,B2,6-10,"CS, SS",
2021-04-27,A1,1-5,Science,
2021-04-28,A1,6-10,Science,
2021-04-29,B1,1-5,"WL, ELA",
2021-04-30,B1,6-10,"WL, ELA",End of MP2
2021-05-01,,,,
2021-05-02,,,,
2021-05-03,A2,1-5,Math,
2021-05-04,A2,6-10,Math,
2021-05-05,B2,1-5,"CS, SS",Faculty
2021-05-06,B2,6-10,"CS, SS",
2021-05-07,A1,1-5,Science,
2021-05-08,,,,
2021-05-09,,,,
2021-05-10,A1,6-10,Science,Grades Due
2021-05-11,B1,1-5,"WL, ELA",STARS 8 am
2021-05-12,B1,6-10,"WL, ELA",Report Cards
2021-05-13,,,,Eid Al-Fitr
2021-05-14,A2,1-5,Math,
2021-05-15,,,,
2021-05-16,,,,
2021-05-17,A2,6-10,Math,
2021-05-18,B2,1-5,"CS, SS",
2021-05-19,B2,6-10,"CS, SS",Department
2021-05-20,A1,1-5,Science,
2021-05-21,A1,6-10,Science,
2021-05-22,,,,
2021-05-23,,,,
2021-05-24,B1,1-5,"WL, ELA",
2021-05-25,B1,6-10,"WL, ELA",
2021-05-26,A2,1-5,Math,
2021-05-27,A2,6-10,Math,
2021-05-28,B2,1-5,"CS, SS",
2021-05-29,,,,
2021-05-30,,,,
2021-05-31,,,,Memorial Day
2021-06-01,B2,6-10,"CS, SS",
2021-06-02,,,No,Special Regents Exam
2021-06-03,,,,"Chancellor's Day, Camp Stuy"
2021-06-04,A1,1-5,Science,
2021-06-05,,,,
2021-06-06,,,,
2021-06-07,A1,6-10,Science,
2021-06-08,B1,1-5,"WL, ELA",
2021-06-09,B1,6-10,"WL, ELA",
2021-06-10,A2,1-5,Math,
2021-06-11,A2,6-10,Math,
2021-06-12,,,,
2021-06-13,,,,
2021-06-14,B2,1-5,No,End of MP3
2021-06-15,,,,Regents Exam
2021-06-16,,,,Regents Exam
2021-06-17,,,,Regents Exam
2021-06-18,,,,Juneteenth
2021-06-19,,,,
2021-06-20,,,,
2021-06-21,,,,"Regents Exam, Senior Grades"
2021-06-22,,,,"Regents Exam, STARS 8 am"
2021-06-23,,,,"Regents Exam, Grades Due"
2021-06-24,,,,Regents Exam
2021-06-25,,,,"Last Day of School, Report Cards"
